OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Firmicutes;c__Clostridia	23925.0	62727.0	13049.0	1128.0	9272.0	688.0	2520.0	159861.0	164908.0	53685.0	21961.0	169325.0	55973.0	3324.0	24710.0	2136.0	14.0	6314.0	57.0	6183.0	946.0	22573.0	19215.0	48.0	23318.0	1147.0	3924.0	12611.0	11543.0	6921.0	36179.0	39539.0	3660.0	16250.0	13095.0	12095.0	2841.0	3.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	1753.0	315.0	0.0	790.0	0.0	43.0	0.0	8383.0	5166.0	773.0	984.0	15968.0	3623.0	0.0	174.0	133.0	3.0	66.0	6918.0	2829.0	15.0	329.0	79.0	0.0	141.0	0.0	0.0	161.0	129.0	1969.0	651.0	253.0	18.0	537.0	47.0	0.0	76.0	67.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.0	26235.0	7071.0	36130.0	14.0	24625.0	24888.0	15306.0	4706.0	64319.0	48.0	47470.0	14569.0	80.0	7221.0	1223.0	294.0	35884.0	8260.0	10.0	1375.0	19450.0	12922.0	283.0	872.0	391.0	14741.0	29266.0	22815.0	24539.0	36352.0	26595.0	34313.0	5004.0	9894.0	24.0	21058.0	777.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1045.0	3840.0	24218.0	57855.0	35293.0	19212.0	19277.0	4470.0	5676.0	40294.0	585.0	35.0	11397.0	23451.0	28340.0	118669.0	106140.0	50132.0	19876.0	587.0	30561.0	811.0	18049.0	1891.0	1865.0	8521.0	28954.0	7814.0	8851.0	6072.0	5667.0	4663.0	7928.0	11817.0	26719.0	52735.0	2102.0	555.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	6.0	798.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	8.0	596.0	0.0	225.0	254.0	67.0	20.0	0.0	0.0	0.0	10.0	10309.0	0.0	1251.0	0.0	293.0	23.0	0.0	0.0	265.0	225.0	2181.0	0.0	563.0	0.0	350.0	54.0
d__Bacteria;p__Firmicutes;c__Bacilli	5139.0	6912.0	1560.0	441.0	34145.0	13457.0	10178.0	43812.0	32677.0	9652.0	21944.0	10286.0	9010.0	35774.0	10395.0	4824.0	164.0	214.0	988.0	4849.0	32217.0	5343.0	5994.0	9145.0	6166.0	2867.0	5069.0	1753.0	1146.0	2760.0	2219.0	6298.0	6522.0	13195.0	18952.0	8528.0	8910.0	62103.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	10.0	12.0	0.0	0.0	83.0	0.0	0.0	548.0	98.0	21.0	8.0	0.0	5.0	0.0	80.0	158.0	0.0	0.0	0.0	16.0	46.0	0.0	0.0	0.0	61.0	0.0	13.0	0.0	3.0	7.0	0.0	94.0	12.0	0.0	117.0	0.0	2053.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	71924.0	3993.0	10728.0	381.0	4019.0	16738.0	10199.0	7690.0	12885.0	589.0	3089.0	13505.0	2961.0	25777.0	14343.0	270.0	9.0	1463.0	1368.0	69740.0	541.0	4068.0	656.0	13957.0	801.0	518.0	33.0	1391.0	112.0	15953.0	7561.0	3059.0	11519.0	2430.0	826.0	53.0	373.0	17918.0
d__Bacteria;p__Firmicutes;c__Negativicutes	2615.0	6011.0	447.0	7.0	71.0	11886.0	3522.0	11.0	340.0	2557.0	72.0	4805.0	502.0	22295.0	13886.0	537.0	114.0	3462.0	23863.0	2079.0	441.0	3472.0	5300.0	166.0	6442.0	949.0	4863.0	285.0	906.0	3802.0	1980.0	3305.0	17224.0	286.0	43885.0	24257.0	38626.0	5450.0
d__Bacteria;p__Firmicutes;c__Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.0	8.0	0.0	0.0	0.0	0.0	0.0	10.0	21.0	2730.0	0.0	0.0	41.0	0.0	140.0	13.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	7.0	20.0	329.0	0.0	728.0	44.0	0.0	0.0	51.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.0	5.0	284.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	7.0	0.0	0.0	99.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
d__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	572.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Synergistota;c__Synergistia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	9.0	51.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.0	0.0	112.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.0	3.0	22940.0	0.0	8.0	0.0	418.0	4757.0	0.0	384.0	0.0	202.0	2028.0	0.0	2142.0	119.0	0.0	60.0	0.0	0.0	57.0	2138.0	0.0	0.0	294.0	7.0	413.0	4122.0	57.0	0.0	25152.0	1632.0	0.0	613.0	1310.0	0.0	8.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria	0.0	2201.0	9081.0	3.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	5.0	1047.0	0.0	0.0	0.0	0.0	0.0	204.0	26.0	71.0	4174.0	99.0	10895.0	930.0	0.0	0.0	211.0	6.0	146.0	13958.0	2.0	2003.0	142.0	46.0	4092.0