OTU ID	CCN06	CCN07	CCN08	CCN09	CCN10	CCN11A	CCN11B	CCN12	CCN13	CCN14	CCN15	CCN16	CCN17	CCN18	CCN19	CCN20	CCP04	CCP05	CCP06	CCP07	CCP09	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP19	CCP20
1-Methyladenosine	906783.3333	2693184	0	0	32981.11429	10692.11538	97081730	22395625	75044440	6024471.111	42156882.35	3953583.333	6642010	200434.2	64877529.41	14291755.56	1277860	12050150	1343164	728533.8	0	9038672	30058118.18	3015461	23370083.33	157987.7	5062.783	77135.1	0	266828.7
2-Hydroxy-2-methylsuccinate	27771216.67	161888600	87147846.15	451078200	6310855.714	10825184.62	167585300	202430125	545662000	217139444.4	1472473529	25279203.33	305243750	306230900	88702705.88	15214466.67	9999410	74875910	183824500	206210200	153149400	3406907000	950996363.6	43932640	4916070000	9158756	18709440	1373158000	4662950	17886600
2-Oxo-4-methylthiobutanoate	0	38273.74	225007.3846	0	0	3293.526923	1331646	1804955	1431478.2	56327.82222	1397957.059	524716.3333	80887716.67	35389120	738474.7059	1651267.778	100935.2	2836645	84716.74	43776.76	0	183445.4	35754581.82	0	4426740.833	4233.325	0	342304	7431.050909	136964.9
2-Oxoglutaric acid	505658.25	21856350	7839146.154	3559085	135879.5	886374.6154	5841697	751822.625	16012602	920140.2222	7841064.706	2790396	194149083.3	92724500	1450391.765	5855733.333	1020108	24533460	6283829	3238547	3513502	68318170	317800000	1652972	372480250	1194134	11835190	104865700	222493.1818	1916802
3-Hydroxyisovaleric acid	9438916.667	47858580	23272423.08	6141021	8762200	3975599.231	141574400	70516800	38850900	33335600	95890058.82	10841223.33	74400250	136384800	82407647.06	12329833.33	10157840	8206364	16942730	26750940	99823640	215769800	29165236.36	133768500	456052750	8809787	4338939	179138100	15055763.64	7874424
3-Methylthiopropionate	0	0	0	0	0	2983.445385	1827619	0	215721	0	0	48220.13333	5498570	1212859	1138101.176	158334.6667	0	30291260	5581.349	0	0	0	14691145.45	4027.477	0	0	0	0	0	415300.1
4-Pyridoxate	7111293.333	11363590	14764884.62	15908700	3085432.857	6701694.615	265887500	21451137.5	110399880	16820311.11	12240011.76	16679946.67	1622324167	657320500	131701000	34989177.78	5911609	1738924000	15794380	3683603	22663380	168693100	2056629091	18546510	115555583.3	5609818	23150830	139481300	3135425.455	25340020
Allantoate	5785.941667	4603.672	0	0	0	0	737012.5	26367.7125	631572.8	19803.74444	222222.8235	0	0	0	480654.5294	0	4863.333	19667.98	461378.7	0	0	2014588	0	179847.9	0	0	0	4911770	0	21309.62
Ascorbate	202578.25	213696	544641692.3	329438	27125.80714	137189.6154	6461054	0	2264678	202973.4444	1657424.706	224759.5667	2255615.833	6288358	2982301.765	7899593.333	210427.4	5291566	1685456	233041.8	64196.28	26471640	198378727.3	15752880	24732191.67	21206.14	382831.6	2190088	0	517283.1
Asparagine	2270245	537782.5	0	0	13273.03571	3352.578462	3932233	832653.5	974407	324163.7778	48962.77647	14679.65667	4968426.667	1112887	1538132.941	846636.8889	69695.82	1751278	1695719	0	60148.07	2204134	639379.7273	309948.4	562508.3333	18838.47	41944.77	7123702	15452.36364	61669.9
Cholate	112267583.3	4101776	1558006154	46821320	499241857.1	27799007.69	21767380000	255548250	15328172000	4153221111	1598490588	16300806.67	79340533.33	426108200	15120523529	2277763333	869333700	304517700	3178534000	3151201000	659352900	4998524000	347086545.5	2607639000	3784996667	774681300	70326020	865697800	27525363.64	184563400
Citrulline	8570133.333	2211168	2063815.385	0	408613.9286	56809	100788300	14143775	16840596	1543406.667	446489.0588	3441906.667	78882591.67	6221981	60129235.29	3307936.667	732666.3	222316900	4781694	70652.19	2042304	704433800	161251090.9	5859708	12232500	242398	963797.1	24424210	381745	3072289
Creatinine	101642	0	33416.21538	11005.21	11693.5	0	15927.74	0	185896.66	204006.3333	5599.37	0	0	0	3461.422353	0	701920	46070.35	614098.7	3110.181	26955.16	10501380	0	11169190	0	8215.696	28440.9	794116.9	0	59276.05
Cysteate	13990.85833	398965.5	0	0	0	4281.12	2382652	53166.2125	474258.4	13520.1	108977.8824	14322.35667	1235210.833	30044.57	1142612.353	0	4537.027	3492050	79126.72	6399.079	1506486	8341198	1724311.818	299112.5	2317553.333	0	92063.14	30530350	0	85367.67
dAMP	306813.4167	17592.34	0	77222.99	7911.114286	811058.4615	497964.9	344318.125	566929.8	19483.84444	352678.5882	561961.3333	0	0	402956.8235	457438.8889	97832.98	1977548	0	1384894	312467.9	71540.22	5309943.636	187503.2	796821.75	0	0	34501.28	25718.51818	888795.2
dCMP	215862.8333	99730.34	0	123338	0	440521.5385	131676.7	1425127.5	746790	328338.8889	465573.2353	580043	0	0	864681.1765	491577.4444	147755.3	2970140	0	3538.822	3058916	541273.3	10213600	116075.3	6218974.167	4352.9	0	55977.21	7588.275455	776285.2
Deoxyinosine	1792947.5	243271.6	190485	259514.8	8841.9	0	98754050	2928412.5	2380396	0	40953270.59	87485.33333	14439950	908158.4	50537447.06	388343.3333	540678.8	163754000	2576510	466955.6	823923.6	2361549	22424400	1103975	62101800	92404.37	0	4483909	15862.52727	533677.5
D-Gluconate	56739800	76204500	63290730.77	23518720	9568242.857	4150890.769	333208800	288866750	40773160	47705355.56	117135352.9	344370666.7	493510000	9017112	124853117.6	9593043.333	14401680	317311300	294158100	12855960	22242830	4540924000	294955272.7	57797420	397082916.7	3507284	15867360	1595313000	8080343.636	13488890
FAD	413269.1667	1516349	126160.0769	0	28652.47143	196733	739603	4215227.5	1360101.4	1319266.667	3847656.471	1158358	6215474.167	1852414	1393335.882	2867091.111	115122.5	43556440	2690855	2746089	0	5484888	99774545.45	9641615	2588270	70177.25	317916	1913559	274210.3636	3132081
Folate	469696.25	158109.4	116961.3846	945279.5	7943.435714	251432.7692	1313714	1725282.5	2443446	2165103.333	5268457.647	1844248.333	948051.6667	5530159	2204248.235	3381858.889	9961.428	2717888	234132	484370.2	0	67387.99	2406174.545	858920.6	171191.0833	50908.48	0	109727.5	230453	375987.4
Glucosamine	0	5630.092	0	0	9526.9	0	1612621	363446.125	489025.2	0	160007.1765	385080	826729.9167	0	1203620	457398.1111	0	4821039	21933.58	0	0	2388866	843071.4545	1147078	0	0	0	0	0	301401.3
Glucose 1-phosphate	0	6313.104	5834.043846	0	428587.1429	0	0	5971.31875	0	185365.2222	5926.158824	0	21745.55833	0	36618.94118	4798.752222	649813.9	2476311	4253736	0	2060633	1768110	952242.7273	7705881	96597166.67	0	252456.4	1452495	0	9077.197
Glucose 6-phosphate	0	6313.104	5834.043846	0	0	0	0	5971.31875	0	185365.2222	5926.158824	0	21745.55833	0	28180.25882	4798.752222	593968.9	2328419	2817953	0	2060633	1768110	518332.2727	7822631	96507833.33	0	252456.4	1452495	0	4596.106
Glutamine	24854050	10954710	313631.0769	0	337227.9286	248315.2308	10236480	819765.75	3733296	449626.6667	1118030	420147	17907883.33	4820157	5135120.588	3942794.444	10984.98	41586560	1993819	0	2418472	33268860	42061063.64	1386526	585055.3333	325732.3	316165.5	7030906	20008.35455	697817.8
Glutathione disulfide	866387.5	497613	558452.3846	1081212	833990.7143	3390693.077	129623.6	12868.475	17869942	1404883.333	5240.078235	75830666.67	0	86744.48	165510.6471	18973.5	330597.3	0	508544.6	110706.3	268921	54353.96	0	11425.59	69984.13333	462673.4	2143470	14325910	117933.8182	266194.1
Guanosine	197293.9167	225475.8	2198386.154	0	194038.3571	76868.09231	4875741	340429.875	1635012.8	16274.4	416809.1765	250948.2	265775.75	598008.4	3101951.765	927173.5556	4226.369	5388116	4095486	180662	0	383984.9	5315476.364	480539.6	143524.75	841744	0	1848516	4617.801818	63834.51
Homocysteic acid	0	0	0	0	2650.393571	0	544149.1	64439.6625	481754.4	0	9371.076471	28960.32	2643046.667	336509.5	236102.4118	20836.72222	0	5636060	0	0	0	286098.1	4279519.091	83372.34	397514.1667	4343.647	0	0	0	14172.21
Homoserine/Threonine	5802506.667	26787750	271193.0769	0	709651.4286	614835.0769	136509900	31798075	62841100	18665777.78	33668211.76	4508550	143139916.7	35690900	70295411.76	24125366.67	1214679	77747380	33700420	550977.4	7069283	403145800	139674363.6	4980507	304468583.3	726371.6	903247.7	84437190	267727.6364	2177268
Homovanillic acid	5006971.667	59822460	90252307.69	94532070	23020042.86	3197469.231	501489900	222393500	110381680	345827222.2	716349411.8	7541196.667	294236000	145557600	271800588.2	10198942.22	91560250	142003900	64245940	4387248	338162000	3593681000	130294636.4	203920100	4396240833	3687082	5791876	332539700	3124260	4516399
Hydroxyisocaproic acid	117569583.3	430269100	487259692.3	61805330	63840214.29	10362284.62	1053062000	585699250	281140800	268523666.7	927534117.6	50452766.67	1006015000	3774255000	561538705.9	44628244.44	149322500	80187940	268584100	169003700	1696760000	8106535000	616802090.9	1165770000	10426116667	139792900	43609840	6036022000	93576000	40145070
Hydroxyproline	0	0	55426.57692	0	12618.57143	0	1008968	623971	1397493.2	178559	68554.58824	0	212283.6667	159618.9	269316.1765	211098.8889	110582.5	393630.3	81718.28	3706.209	0	2640746	661570.2727	4303016	0	0	0	5237192	0	858667.9
Hypoxanthine	4220762.5	4524908	5511147.692	2286822	571592.4286	419351.7692	189408400	47258800	43961100	1145486.667	17739388.24	13244326.67	339476166.7	81041760	106283352.9	52583922.22	2626337	126008600	2587155	3771942	2376462	141513200	328787818.2	10570340	89055250	673494.2	4248028	30829630	739915.4545	4249632
Kynurenic acid	293438.1667	2772145	379796.4615	5894764	95583.85714	197692.2308	24588740	7151201.25	17087458	3552897.778	18500758.82	440430.3333	12621916.67	3837033	12631076.47	329907.8889	1072866	85094290	1681776	2604418	4083743	12267990	67762645.45	2344170	69833508.33	229051.3	71197.46	7939289	445166.7273	1954114
Leucine/Isoleucine	170893250	270394300	170842692.3	56867500	2885915	23880507.69	1390687000	193795000	283766800	91142388.89	199023117.6	64480433.33	1733138333	844159500	727741764.7	128582666.7	54213400	1052519000	345162800	21019330	237534100	1821931000	1943972727	283382400	848536666.7	53365260	82386120	2122068000	24480409.09	40895840
L-Methionine	5485536.667	6044368	8545707.692	1222355	3137.992143	1267926.154	135573000	8938332.5	10715458	1774603.333	16516376.47	858378	68997683.33	21670860	67050529.41	5475277.778	1140046	131853000	10483450	399208.2	864548.3	55706780	58099472.73	801814.8	30385791.67	1232364	2055664	27700220	337926.4545	1172718
Lysine	3943955	1163228	8426.223077	0	4114.055714	320761.6154	11478420	4961976.25	671863.6	871341.1111	380170.1176	217508.5	4982344.167	1150538	9226600	1696696.667	68329.74	5421995	1136003	304154.6	15363.45	512084.6	851648.3636	1198705	0	8467.781	0	1009459	247087	664652.8
Malate	23901383.33	225711100	383572153.8	94078500	5625410	95444538.46	396119200	57793425	692524000	27684100	59051235.29	31067710	1165475833	769024200	178439470.6	386781666.7	18758460	2061202000	225642200	30125520	42291970	1320642000	5186230909	100174800	4150764167	52516540	278676500	3523068000	18112936.36	71632100
N-Acetylglucosamine	6514.480833	13428.34	0	0	32731.82857	5010.386923	86879230	21409100	44342620	4267043.333	30828047.06	4964936.667	7945275.833	1795618	61058941.18	11762155.56	652269.5	10905060	460317.6	349548.2	0	867167.3	19727909.09	1836547	30222516.67	72758.07	5608.97	68586.49	0	350152
N-Acetylglutamate	6516931.667	9794650	53152400	212640700	2849192.143	3026731.538	86983510	1745281.25	197033040	110359822.2	378051588.2	39059833.33	1377082500	623862200	42271182.35	20152911.11	42254560	802782200	46305270	90079430	162957800	576340800	4679086364	11324290	1380654167	6189373	4765840	260673300	4475209.091	46587540
N-Acetylornithine	2953371.667	7932631	3469659.231	498659.3	175789.7857	509573.2308	58453640	7151601.25	15649990	2078630	5825440.588	2209068.333	56784175	7597398	30363864.71	4613008.889	673814.6	57277020	4760256	2662575	2540766	25568080	16014590.91	1662176	18511300	778805.6	2234329	39647060	475873.3636	692807
Nicotinate	660376.3333	646814.1	1525190.769	3374076	350764	344331	19654020	18955175	9098422	4021984.444	9436800	4288116.667	139228416.7	57433100	10425994.12	18476444.44	1172909	46789620	4554896	1790262	2870672	42011740	337140181.8	3007817	3522310.833	445484.6	1514970	19737730	438601.4545	2132172
Ornithine	2382080	217975.4	1338696.154	0	136004.6429	417756.3846	42545990	8211835	7476232	350377.6667	382723.4706	1715089.667	61264250	37720910	20180835.29	2779853.333	599245.6	88413980	2156321	286255.7	230661.1	188716000	123522727.3	2503953	917668.3333	229789.1	524485.3	12939320	613547.9091	2193641
Orotate	4384771.667	3094816	12605484.62	454521.4	0	238704.9231	7587801	794440.625	44405700	3720714.444	2577881.765	4700580	140146166.7	11662550	4761344.706	10905452.22	1106201	204259700	3448399	844982.6	7208565	220480900	158452363.6	123057.8	437361166.7	15182.47	43346.82	103274700	11241.65455	1500136
Pantothenate	15627758.33	41749430	72769761.54	101575000	8230957.143	11110246.15	679645100	134171625	153264960	19754833.33	283607823.5	50992233.33	1040488333	405657200	354160294.1	100076844.4	14906980	564337000	23736900	39223850	126003100	260153900	4519434545	22059010	65317266.67	10261720	24027160	227758800	6550098.182	16467250
Phenylalanine	100700416.7	266306100	142350692.3	32006360	3282273.571	17960592.31	1241856000	173376875	156038360	53575644.44	106921588.2	36002000	483330416.7	159224500	623330000	43852833.33	63054260	473150600	206138800	5151594	137321600	1862109000	494590818.2	280988600	380396500	42527080	100453100	2877105000	35315645.45	15043780
Phenylpyruvate	2047471.667	41184850	22020338.46	4437525	121621.4286	1361580	22538400	16671200	31607140	6846717.778	24551211.76	14541426.67	497842833.3	250729400	16968905.88	2245522.222	2443313	20991680	6548646	1745242	6796289	35520230	225127636.4	2560945	63100883.33	1212635	2879119	160688800	2431178.182	2649087
Proline	9949941.667	6033044	4790730	15472.84	494188.5	1016774.615	36272580	12880587.5	10504036	17272933.33	5023178.824	6478386.667	64305791.67	38286600	19024805.88	9152671.111	1737530	25570290	22022710	861244.9	0	87412940	49404800	29044600	22715483.33	276231.5	2675112	60799170	779931.4545	2156141
Riboflavin	806980.5833	6748388	1294093.077	281636.6	525721.2857	216221.1538	15495470	13014575	12868800	4297466.667	5632367.059	10298986.67	88952000	91679920	12535029.41	11515144.44	823992	34177860	1566636	836792.3	277549	1949384	86034909.09	4296878	0	392048.2	0	1916076	882542.6364	3575359
Serine	3206005	13623570	0	0	127038	51819.82308	31829010	9559022.5	21044640	2974532.222	5867315.882	531201.3333	23701833.33	1104075	19560976.47	9836665.556	138990.7	11677020	7280532	7448.815	1474342	15184680	9677054.545	837157.3	16436191.67	51858.95	217093.2	5490664	8153.361818	483565.4
Succinate/Methylmalonate	228653583.3	1144606000	256180769.2	34081280	34233528.57	34609338.46	1594775000	3687002.5	1162286800	72541000	185055823.5	8157683.333	74532525	197545800	925884117.6	14214411.11	19335950	106422000	145376400	94404940	43141280	2657001000	294632454.5	998344900	1483134167	125091700	11287030	1460159000	96077909.09	8272951
Sucralose	0	174079400	0	0	0	0	0	5267902.5	0	0	0	78662800	734431.3333	153386700	0	94168288.89	127176.7	0	0	0	100667900	196789800	0	22678320	47666.28333	9384173	0	0	26922236.36	3797729
Taurine	76696483.33	81260080	3378371.538	37504.94	6564245.714	2713969.231	234263000	50447975	168089400	27207088.89	59889117.65	259800.2333	2298245	3822687	105103647.1	18255744.44	9031936	14362840	34870730	6624028	38006220	683059600	408230.7273	89380490	1150664167	4245450	30187320	287333700	513119.6364	6209515
Thymidine	4988230.833	394054.1	0	20041.92	290380.6429	3068253.077	14137100	8387111.25	6865560	4782301.111	15982041.18	349916.6667	4422363.333	442795	7057688.235	2193174.444	7781.622	21085600	14038700	2718239	0	534431.8	11305781.82	2011887	3346188.333	0	0	3209527	59499.18182	2811212
Thymine	5667186.667	4931874	1617673.846	740258.4	12785.67143	734673.9231	74615640	19310262.5	15093804	1019537.111	15176935.29	6876566.667	265975000	89268820	40922047.06	18441055.56	2245796	91415530	11000810	1232724	4895885	114368800	127544272.7	1294434	79246983.33	1437052	22295.38	81128200	530591.3636	1856710
Tryptophan	202329333.3	63759350	217911769.2	85619120	4890532.857	24829638.46	996989100	120141637.5	330197200	71994244.44	133630588.2	39628366.67	178445500	165619900	643391764.7	195231666.7	29867140	437480800	575283700	12793480	110303100	1981573000	414604545.5	6519923	77796166.67	31088930	54128120	1087631000	7287752.727	22553450
Tyrosine	266252916.7	421426700	131575153.8	106481400	3582389.286	25087138.46	527508000	56432225	322201400	51015755.56	173459176.5	54678933.33	1359769167	210118900	232764117.6	91184255.56	26272040	902110500	449916200	7619332	177973700	2238585000	1127505455	77099200	623844916.7	31558560	127014700	1915904000	26253181.82	27404050
UDP-N-acetylglucosamine	475702.9167	476214.3	274960	553749.4	3154930	566414.0769	0	21889.9375	2609178	840683.5556	398567.3529	5911630	109639.75	81296.7	0	7075.025556	2334742	0	17043.03	0	24502610	2759355	694700.2727	0	65197550	0	10358950	2692753	14874.58182	643642.7
Uracil	840244.1667	2576428	2569020	935408.6	8002.714286	404794.6154	81140300	15008850	18573932	660344.5556	10241676.47	6630116.667	143647666.7	59081460	43981917.65	20851488.89	1281504	62797200	686276	441831.9	2186963	46872270	139514181.8	2802568	39135500	182160.2	963327.3	7806632	686061.5455	2160952
Uric acid	74908691.67	135534900	36597615.38	16844210	918622.1429	20404107.69	2763584	13191362.5	12203598	183220666.7	483293.5882	14785740	78724975	148756100	1385011.176	2916715.556	55237290	10340310	209317000	1105267	125425600	2533803000	64713727.27	332280.7	2876548333	325314.4	31801550	1459507000	2786104.545	43248300
Valine	32731866.67	30159800	20307230.77	3803938	799457.8571	3466080	196845600	37995675	53285040	28315955.56	22486052.94	18927926.67	275743833.3	131077100	105176647.1	29649088.89	10684920	154725100	40887180	3456203	17214020	240989300	223934909.1	51854640	151196333.3	7742187	11517160	218373700	10366590.91	9063385
Xanthine	27819833.33	27218700	24078246.15	15646660	1265767.857	1676781.538	591094800	138771500	178370740	17389100	70610588.24	61329633.33	908011666.7	306873000	297885352.9	129539555.6	9742899	542399700	33824360	9311580	9728582	1087930000	921861818.2	14696810	451070500	1528829	27290090	293633500	3946167.273	16290280
Xanthurenic acid	5950.003333	140283	121893.8462	0	14590.40714	23906.7	5666667	2168861.25	1124328	695158.1111	1566122.353	242859.6667	92807.83333	0	3465386.471	31481.71111	60820.23	20441860	503437.9	402072	82363.59	6655476	2641947.273	161225.9	7688151.667	5306.833	0	3716254	182102.8182	183965.4